Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Travis Zajac","New Jersey","Center","80","18","30","48","1084","770","314","6","8.6","138","107","69","110","5750000"
"Tuomo Ruutu","New Jersey","Left Wing","76","8","16","24","231","167","64","4.4","8","47","24","-7","11","779487"
"Damien Brunner","New Jersey","Right Wing","60","11","14","25","569","501","68","-2.1","-2","88","-36","16","-2","2500000"
"Andy Greene","New Jersey","Defense","82","8","24","32","1230","954","276","3","4.2","100","57","119","120","3000000"
"Patrik Elias","New Jersey","Center","65","18","35","53","669","556","113","0.9","0.8","68","-7","52","48","5500000"
"Michael Ryder","New Jersey","Right Wing","82","18","16","34","864","759","105","-1.6","-1.1","37","24","44","59","3500000"
"Stephen Gionta","New Jersey","Center","66","4","7","11","459","458","1","-4.3","-5.9","7","-5","-1","2","562500"
"Jon Merrill","New Jersey","Defense","52","2","9","11","672","584","88","-2.6","-2.7","52","14","22","40","624615"
"Anton Volchenkov","New Jersey","Defense","56","0","8","8","575","468","107","0.5","0.8","51","54","2","36","4250000"
"Reid Boucher","New Jersey","Left Wing","23","2","5","7","211","159","52","3.6","7","17","13","22","35","0"
"Bryce Salvador","New Jersey","Defense","40","1","3","4","494","487","7","-5.2","-7.5","15","-12","4","-7","3166667"
"Cam Janssen","New Jersey","Right Wing","24","3","0","3","81","76","5","-2.7","-3.5","3","-1","3","-1","0"
"Peter Harrold","New Jersey","Defense","33","0","4","4","404","334","70","0.3","0.8","51","10","9","11","800000"
"Ryane Clowe","New Jersey","Left Wing","43","7","19","26","500","465","35","-2.8","-3","-28","33","30","53","4850000"
"Dainius Zubrus","New Jersey","Left Wing","82","13","13","26","967","821","146","-0.4","0.1","78","29","39","67","3100000"
"Adam Henrique","New Jersey","Center","77","25","18","43","836","742","94","-1.9","-2","57","-2","39","56","4000000"
"Andrei Loktionov","New Jersey","Center","68","7","15","22","429","320","109","3.1","6.1","57","30","22","24","148718"
"Jaromir Jagr","New Jersey","Right Wing","82","24","43","67","1121","774","347","7","10.3","143","98","106","142","2000000"
"Jacob Josefson","New Jersey","Center","27","1","2","3","175","175","0","-5.5","-7","8","0","-8","-4","725000"
"Eric Gelinas","New Jersey","Defense","60","7","22","29","661","586","75","-1.8","-1.6","67","-12","20","27","0"
"Marek Zidlicky","New Jersey","Defense","81","12","30","42","1147","1005","142","-1.8","-2.1","102","-1","41","36","3000000"
"Mark Fayne","New Jersey","Defense","72","4","7","11","941","760","181","1.6","3.2","53","52","76","115","1300000"
"Steve Bernier","New Jersey","Right Wing","78","3","9","12","694","614","80","-1.6","-1.1","51","-19","48","13","775000"
"Ryan Carter","New Jersey","Center","62","7","3","10","448","424","24","-4.4","-5","-1","2","23","2","775000"
"Adam Larsson","New Jersey","Defense","26","1","2","3","348","280","68","2.5","5.8","32","21","15","18","540769"
