Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Jay McClement","Toronto","Center","81","4","6","10","577","913","-336","-5","-4.9","-181","-101","-54","-119"
"Troy Bodie","Toronto","Right Wing","47","3","7","10","312","416","-104","0.3","-2.4","-50","-33","-21","-32"
"Paul Ranger","Toronto","Defense","53","6","8","14","611","834","-223","0.2","-0.5","-83","-96","-44","-73"
"Peter Holland","Toronto","Center","43","6","5","11","361","478","-117","0.7","-2.5","-54","-42","-21","-38"
"Frazer McLaren","Toronto","Left Wing","27","0","0","0","63","94","-31","-3.7","-6.2","-15","-15","-1","-17"
"David Clarkson","Toronto","Right Wing","60","5","6","11","667","899","-232","0.5","-2.4","-116","-63","-53","-52"
"Mason Raymond","Toronto","Left Wing","82","19","26","45","981","1232","-251","2.1","2.4","-108","-104","-39","-58"
"Dave Bolland","Toronto","Center","23","8","4","12","222","279","-57","3.3","4.7","-26","-27","-4","-7"
"Colton Orr","Toronto","Right Wing","54","0","0","0","174","273","-99","-4.5","-9.5","-41","-24","-34","-30"
"John-Michael Liles","Toronto","Defense","41","2","7","9","75","125","-50","-6.6","-20.3","-11","-32","-7","-22"
"James van Riemsdyk","Toronto","Left Wing","80","30","31","61","1155","1455","-300","1.9","2.3","-102","-142","-56","-94"
"Carter Ashton","Toronto","Right Wing","32","0","3","3","151","195","-44","-0.9","-4.2","-29","-17","2","-18"
"Nikolay Kulemin","Toronto","Left Wing","70","9","11","20","703","998","-295","-2.1","-3.6","-137","-83","-75","-105"
"Phil Kessel","Toronto","Right Wing","82","37","43","80","1229","1557","-328","2","1.4","-117","-155","-56","-111"
"Morgan Rielly","Toronto","Defense","73","2","25","27","970","1215","-245","2.6","2.6","-130","-71","-44","-77"
"Mark Fraser","Toronto","Defense","42","1","1","2","198","278","-80","-3.2","-8.6","-37","-14","-29","-24"
"Jerry D'Amigo","Toronto","Right Wing","22","1","2","3","93","148","-55","-5.3","-7.6","-16","-17","-22","-31"
"Nazem Kadri","Toronto","Center","78","20","30","50","1030","1247","-217","3.7","4.4","-117","-62","-38","-27"
"Tyler Bozak","Toronto","Center","58","19","30","49","824","1096","-272","0.1","-0.4","-95","-122","-55","-107"
"Tim Gleason","Toronto","Defense","56","1","5","6","445","685","-240","-5.2","-12.8","-82","-70","-88","-117"
"Jake Gardiner","Toronto","Defense","80","10","21","31","1198","1382","-184","5.6","9.5","-164","-65","45","8"
"Carl Gunnarsson","Toronto","Defense","80","3","14","17","939","1401","-462","-4","-7.9","-164","-190","-108","-155"
"Joffrey Lupul","Toronto","Left Wing","69","22","22","44","875","1183","-308","-1.2","-3.5","-188","-113","-7","-59"
"Trevor Smith","Toronto","Center","28","4","5","9","199","285","-86","-3.5","-8.8","-32","-50","-4","-14"
"Dion Phaneuf","Toronto","Defense","80","8","23","31","1043","1504","-461","-2.7","-2.7","-202","-180","-79","-156"
"Cody Franson","Toronto","Defense","79","5","28","33","1039","1272","-233","2.7","5.5","-125","-89","-19","-37"
